Visitor_ID,Age,Gender,Accommodation_Type,Accommodation_Cost (INR),Travel_Mode,Travel_Cost (INR),Total_Trip_Cost (INR),Visit_Month,Group_Size,State_of_Origin,Trip_Duration (Days)
V00037,37,Female,Hotel,3784,Palanquin,290,4074,August,3,Gujarat,7
V00038,66,Female,Hotel,618,Horse,716,1334,August,8,Delhi,1
V00039,69,Male,Tent,390,Walk,0,390,September,3,Maharashtra,5
V00040,65,Male,Dharamshala,3951,Walk,0,3951,June,8,Maharashtra,6
V00041,35,Female,Hotel,604,Walk,0,604,July,4,Uttar Pradesh,3
V00042,21,Female,Hotel,3349,Walk,0,3349,September,9,Delhi,7
V00043,21,Male,Hotel,1179,Walk,0,1179,October,6,Maharashtra,3
V00044,37,Female,Tent,2620,Walk,0,2620,October,5,Gujarat,7
V00045,21,Female,Hotel,1016,Walk,0,1016,September,3,Rajasthan,3
V00046,38,Female,Hotel,3172,Helicopter,2603,5775,August,3,Madhya Pradesh,4
V00047,20,Female,Tent,1280,Horse,6876,8156,May,4,Madhya Pradesh,4
V00048,49,Female,Hotel,919,Palanquin,6743,7662,July,6,Uttar Pradesh,3
V00049,24,Female,Hotel,2210,Palanquin,7930,10140,July,3,Madhya Pradesh,6
V00050,69,Male,Hotel,1327,Walk,0,1327,May,2,Madhya Pradesh,2
V00051,19,Male,Dharamshala,994,Helicopter,3572,4566,June,5,Delhi,7
V00052,57,Female,Dharamshala,4877,Walk,0,4877,July,8,Madhya Pradesh,1
V00053,36,Male,Tent,813,Walk,0,813,July,9,Rajasthan,4
V00054,32,Male,Tent,1896,Helicopter,2922,4818,August,4,Rajasthan,7
V00055,19,Male,Tent,917,Walk,0,917,September,5,Rajasthan,1
V00056,42,Male,Hotel,1917,Helicopter,3141,5058,October,8,Rajasthan,7
V00057,21,Male,Tent,2989,Horse,1457,4446,August,10,Rajasthan,5
V00058,34,Female,Hotel,1061,Walk,0,1061,June,10,Delhi,2
V00059,60,Male,Hotel,720,Walk,0,720,May,2,Gujarat,3
V00060,48,Female,Hotel,4903,Helicopter,7447,12350,July,10,Maharashtra,1
V00061,52,Female,Dharamshala,4116,Walk,0,4116,May,2,Maharashtra,7
V00062,28,Male,Dharamshala,4439,Horse,7366,11805,June,6,Rajasthan,4
V00063,50,Male,Hotel,873,Horse,1574,2447,October,7,Maharashtra,1
V00064,24,Male,Hotel,3074,Palanquin,6199,9273,July,6,Uttar Pradesh,4
V00065,66,Female,Tent,3581,Walk,0,3581,July,7,Maharashtra,2
V00066,64,Male,Tent,4122,Walk,0,4122,May,9,Uttar Pradesh,7
V00067,51,Male,Tent,4667,Horse,3680,8347,May,2,Madhya Pradesh,1
V00068,29,Female,Tent,3854,Walk,0,3854,August,1,Uttar Pradesh,7
V00069,57,Female,Hotel,1724,Horse,938,2662,July,5,Delhi,4
V00070,57,Female,Hotel,3431,Palanquin,4589,8020,August,9,Rajasthan,6
V00071,37,Male,Tent,866,Horse,312,1178,June,8,Gujarat,3
V00072,29,Female,Hotel,845,Horse,2175,3020,May,2,Gujarat,7
V00073,51,Male,Tent,4318,Horse,24,4342,September,6,Uttar Pradesh,3
V00074,54,Female,Hotel,2747,Palanquin,148,2895,May,6,Madhya Pradesh,6
V00075,43,Male,Tent,4405,Walk,0,4405,October,8,Madhya Pradesh,5
V00076,43,Male,Hotel,4256,Palanquin,2466,6722,June,9,Uttar Pradesh,5
V00077,55,Female,Hotel,2602,Palanquin,2658,5260,May,10,Rajasthan,3
V00078,68,Female,Dharamshala,301,Walk,0,301,July,1,Rajasthan,5
V00079,20,Female,Hotel,1869,Horse,3193,5062,September,2,Maharashtra,7
V00080,38,Female,Dharamshala,3795,Horse,4687,8482,May,9,Gujarat,4
V00081,66,Female,Tent,2057,Palanquin,5839,7896,September,6,Gujarat,3
V00082,56,Male,Hotel,4254,Walk,0,4254,October,7,Madhya Pradesh,6
V00083,48,Female,Dharamshala,2483,Horse,2676,5159,July,6,Maharashtra,2
V00084,35,Other,Tent,1828,Helicopter,588,2416,August,5,Madhya Pradesh,2
V00085,30,Female,Hotel,2122,Horse,251,2373,October,2,Uttar Pradesh,3
V00086,36,Male,Hotel,526,Palanquin,5673,6199,July,9,Rajasthan,7
V00087,56,Male,Tent,3140,Horse,600,3740,September,7,Delhi,1
V00088,32,Female,Hotel,4428,Walk,0,4428,October,5,Maharashtra,6
V00089,46,Female,Tent,1544,Palanquin,7508,9052,June,1,Gujarat,7
V00090,36,Male,Hotel,3642,Walk,0,3642,June,7,Gujarat,7
V00091,39,Female,Hotel,1999,Walk,0,1999,May,10,Maharashtra,3
V00092,30,Female,Tent,2397,Helicopter,2478,4875,June,4,Rajasthan,5
V00093,19,Female,Tent,3971,Walk,0,3971,September,2,Delhi,4
V00094,32,Male,Hotel,2434,Horse,376,2810,September,6,Madhya Pradesh,4
V00095,25,Female,Dharamshala,4686,Helicopter,4338,9024,October,8,Rajasthan,6
V00096,65,Female,Tent,1117,Walk,0,1117,October,4,Uttar Pradesh,7
V00097,31,Female,Hotel,1229,Walk,0,1229,August,6,Madhya Pradesh,6
V00098,19,Female,Dharamshala,3136,Horse,6716,9852,July,5,Uttar Pradesh,1
V00099,35,Female,Dharamshala,305,Walk,0,305,August,1,Madhya Pradesh,6
V00100,26,Male,Tent,2856,Walk,0,2856,October,7,Maharashtra,2
V00101,52,Male,Hotel,850,Walk,0,850,September,10,Rajasthan,1
V00102,46,Female,Hotel,4908,Walk,0,4908,August,5,Gujarat,3
V00103,38,Female,Hotel,1532,Horse,7151,8683,August,5,Gujarat,6
V00104,54,Female,Hotel,2410,Horse,1764,4174,August,9,Rajasthan,6
V00105,20,Male,Hotel,1614,Horse,7531,9145,July,10,Madhya Pradesh,6
V00106,36,Male,Hotel,2315,Helicopter,331,2646,August,3,Madhya Pradesh,5
V00107,23,Male,Tent,760,Palanquin,3759,4519,May,4,Madhya Pradesh,1
V00108,53,Male,Dharamshala,2887,Walk,0,2887,May,4,Maharashtra,1
V00109,37,Male,Tent,2077,Horse,5276,7353,August,7,Uttar Pradesh,1
V00110,57,Other,Hotel,1280,Walk,0,1280,June,4,Maharashtra,1
V00111,59,Male,Tent,3870,Helicopter,5844,9714,May,5,Uttar Pradesh,5
V00112,25,Male,Hotel,4677,Walk,0,4677,October,4,Madhya Pradesh,4
V00113,31,Male,Dharamshala,458,Palanquin,2833,3291,June,7,Rajasthan,4
V00114,69,Male,Tent,985,Helicopter,2373,3358,May,6,Delhi,2
V00115,67,Male,Dharamshala,4016,Horse,4213,8229,August,3,Delhi,3
V00116,23,Female,Hotel,845,Walk,0,845,June,3,Uttar Pradesh,7
V00117,65,Male,Hotel,3753,Helicopter,747,4500,August,10,Rajasthan,4
V00118,65,Male,Hotel,4612,Horse,4134,8746,October,8,Madhya Pradesh,7
V00119,68,Female,Dharamshala,4023,Walk,0,4023,July,10,Uttar Pradesh,5
V00120,62,Female,Hotel,576,Horse,2210,2786,August,1,Rajasthan,3
V00121,51,Male,Dharamshala,1093,Helicopter,4471,5564,September,4,Madhya Pradesh,4
V00122,58,Female,Dharamshala,4702,Walk,0,4702,May,10,Maharashtra,6
V00123,53,Male,Tent,1483,Walk,0,1483,June,1,Maharashtra,2
V00124,18,Female,Hotel,3316,Walk,0,3316,May,1,Rajasthan,2
V00125,43,Male,Dharamshala,3055,Walk,0,3055,August,3,Madhya Pradesh,4
V00126,37,Male,Dharamshala,3764,Palanquin,2684,6448,May,8,Rajasthan,5
V00127,36,Female,Hotel,2403,Walk,0,2403,September,4,Maharashtra,3
V00128,18,Male,Hotel,1522,Horse,2779,4301,August,5,Madhya Pradesh,6
V00129,55,Male,Hotel,4735,Horse,2954,7689,August,3,Maharashtra,1
V00130,23,Female,Tent,2925,Walk,0,2925,August,5,Maharashtra,6
V00131,67,Male,Hotel,4076,Helicopter,4541,8617,May,3,Uttar Pradesh,4
V00132,61,Male,Hotel,4871,Horse,449,5320,June,2,Delhi,2
V00133,30,Male,Tent,1228,Palanquin,3928,5156,August,3,Maharashtra,1
V00134,35,Male,Tent,1925,Horse,6880,8805,August,1,Madhya Pradesh,7
V00135,39,Male,Dharamshala,2916,Walk,0,2916,September,7,Gujarat,7
V00136,22,Male,Hotel,4128,Horse,370,4498,June,1,Delhi,1
V00137,49,Male,Dharamshala,2650,Walk,0,2650,May,10,Madhya Pradesh,6
V00138,46,Male,Dharamshala,3454,Palanquin,1062,4516,June,10,Gujarat,3
V00139,47,Other,Hotel,3252,Palanquin,3222,6474,July,9,Uttar Pradesh,2
V00140,40,Female,Dharamshala,901,Horse,1687,2588,July,6,Gujarat,6
V00141,66,Male,Hotel,4038,Palanquin,3084,7122,August,9,Uttar Pradesh,1
V00142,39,Male,Hotel,1270,Palanquin,2072,3342,May,8,Maharashtra,6
V00143,59,Male,Dharamshala,875,Walk,0,875,May,2,Madhya Pradesh,4
V00144,68,Female,Hotel,3030,Horse,7390,10420,October,8,Madhya Pradesh,6
V00145,47,Male,Dharamshala,721,Walk,0,721,June,5,Gujarat,2
V00146,35,Male,Tent,2360,Horse,7899,10259,August,2,Rajasthan,3
V00147,39,Male,Dharamshala,1080,Horse,4952,6032,September,4,Madhya Pradesh,7
V00148,56,Other,Tent,2543,Horse,6934,9477,June,5,Uttar Pradesh,7
V00149,41,Male,Hotel,3790,Helicopter,7314,11104,July,7,Rajasthan,4
V00150,39,Male,Tent,2214,Horse,6157,8371,July,1,Maharashtra,7
V00151,66,Male,Hotel,3325,Horse,6537,9862,July,7,Delhi,7
V00152,29,Male,Hotel,349,Walk,0,349,May,10,Delhi,6
V00153,48,Female,Dharamshala,348,Walk,0,348,May,6,Rajasthan,6
V00154,57,Female,Tent,3935,Palanquin,3418,7353,May,3,Rajasthan,4
V00155,50,Male,Tent,3183,Walk,0,3183,June,6,Gujarat,1
V00156,19,Female,Tent,1887,Helicopter,4240,6127,August,9,Madhya Pradesh,6
V00157,60,Male,Hotel,3571,Walk,0,3571,October,8,Gujarat,3
V00158,28,Male,Hotel,2184,Helicopter,658,2842,October,8,Uttar Pradesh,1
V00159,56,Male,Tent,4661,Walk,0,4661,June,3,Maharashtra,4
V00160,47,Female,Tent,3752,Walk,0,3752,July,2,Delhi,2
V00161,24,Male,Hotel,4513,Horse,4238,8751,August,3,Rajasthan,7
V00162,53,Male,Hotel,2081,Walk,0,2081,July,2,Uttar Pradesh,2
V00163,32,Male,Hotel,4827,Walk,0,4827,June,2,Gujarat,5
V00164,69,Other,Dharamshala,2848,Horse,14,2862,July,5,Madhya Pradesh,1
V00165,66,Male,Hotel,4224,Walk,0,4224,May,6,Rajasthan,2
V00166,20,Male,Hotel,4135,Palanquin,6248,10383,October,4,Gujarat,5
V00167,63,Male,Hotel,497,Helicopter,2437,2934,August,1,Delhi,7
V00168,40,Male,Dharamshala,4497,Palanquin,2770,7267,May,8,Uttar Pradesh,7
V00169,45,Female,Hotel,1811,Walk,0,1811,July,4,Maharashtra,3
V00170,42,Male,Hotel,3836,Walk,0,3836,October,2,Gujarat,2
V00171,64,Female,Dharamshala,1059,Walk,0,1059,May,3,Rajasthan,1
V00172,66,Male,Hotel,788,Walk,0,788,May,6,Gujarat,1
V00173,46,Female,Hotel,1052,Walk,0,1052,October,3,Gujarat,4
V00174,59,Male,Tent,3369,Walk,0,3369,September,2,Uttar Pradesh,7
V00175,48,Female,Dharamshala,680,Horse,6108,6788,July,1,Maharashtra,2
V00176,35,Female,Tent,4999,Horse,4707,9706,August,1,Rajasthan,5
V00177,67,Other,Hotel,4968,Walk,0,4968,August,3,Gujarat,1
V00178,34,Male,Tent,3860,Walk,0,3860,October,4,Uttar Pradesh,6
V00179,41,Other,Tent,947,Walk,0,947,October,8,Uttar Pradesh,7
V00180,25,Male,Hotel,1123,Helicopter,1942,3065,August,1,Gujarat,1
V00181,35,Male,Hotel,3190,Horse,6888,10078,June,9,Delhi,4
V00182,53,Male,Hotel,2988,Walk,0,2988,May,3,Delhi,3
V00183,25,Male,Hotel,715,Walk,0,715,July,5,Delhi,7
V00184,38,Male,Hotel,3877,Walk,0,3877,July,5,Rajasthan,6
V00185,39,Male,Tent,3593,Horse,5361,8954,July,8,Madhya Pradesh,1
V00186,68,Female,Tent,2007,Walk,0,2007,August,8,Uttar Pradesh,2
V00187,37,Male,Tent,4635,Walk,0,4635,June,5,Uttar Pradesh,1
V00188,68,Male,Tent,459,Walk,0,459,September,2,Madhya Pradesh,7
V00189,46,Female,Dharamshala,1074,Horse,7726,8800,July,10,Maharashtra,4
V00190,20,Female,Tent,1342,Horse,7637,8979,May,8,Gujarat,7
V00191,21,Female,Hotel,4147,Palanquin,2356,6503,August,1,Uttar Pradesh,5
V00192,24,Male,Dharamshala,1839,Horse,249,2088,September,5,Rajasthan,1
V00193,43,Female,Hotel,1977,Horse,2149,4126,August,2,Gujarat,3
V00194,55,Male,Hotel,2278,Helicopter,7205,9483,September,6,Uttar Pradesh,4
V00195,45,Female,Tent,2865,Helicopter,5221,8086,September,2,Gujarat,1
V00196,41,Female,Dharamshala,1210,Walk,0,1210,August,7,Delhi,1
V00197,62,Female,Tent,4089,Walk,0,4089,October,6,Maharashtra,6
V00198,70,Male,Tent,4029,Walk,0,4029,October,8,Rajasthan,7
V00199,62,Other,Tent,2121,Palanquin,21,2142,September,4,Delhi,7
V00200,51,Female,Hotel,3628,Walk,0,3628,July,4,Rajasthan,7
V00201,65,Female,Hotel,4827,Palanquin,7991,12818,May,5,Rajasthan,5
V00202,62,Female,Tent,3543,Horse,2164,5707,May,3,Madhya Pradesh,4
V00203,51,Female,Tent,1594,Walk,0,1594,August,3,Rajasthan,3
V00204,42,Female,Dharamshala,497,Helicopter,6993,7490,September,3,Madhya Pradesh,6
V00205,36,Male,Dharamshala,4208,Palanquin,250,4458,October,10,Delhi,3
V00206,39,Male,Tent,524,Palanquin,955,1479,August,5,Rajasthan,4
V00207,44,Female,Tent,2359,Walk,0,2359,August,7,Rajasthan,2
V00208,50,Female,Hotel,2629,Horse,1008,3637,July,8,Uttar Pradesh,5
V00209,22,Female,Tent,1181,Horse,1577,2758,September,3,Delhi,6
V00210,51,Female,Hotel,2220,Palanquin,4903,7123,August,8,Rajasthan,3
V00211,37,Male,Hotel,2973,Walk,0,2973,August,1,Rajasthan,3
V00212,40,Female,Hotel,1153,Walk,0,1153,October,2,Maharashtra,7
V00213,54,Male,Hotel,3349,Helicopter,633,3982,August,5,Maharashtra,2
V00214,44,Other,Hotel,4390,Walk,0,4390,July,3,Uttar Pradesh,1
V00215,61,Female,Tent,4961,Horse,1023,5984,August,10,Maharashtra,4
V00216,68,Male,Hotel,2911,Horse,7662,10573,June,6,Madhya Pradesh,6
V00217,24,Male,Dharamshala,3895,Palanquin,5361,9256,June,7,Maharashtra,6
V00218,45,Male,Hotel,2491,Walk,0,2491,May,4,Delhi,5
V00219,23,Male,Hotel,5000,Walk,0,5000,October,3,Delhi,7
V00220,65,Female,Tent,2082,Walk,0,2082,May,4,Uttar Pradesh,5
V00221,67,Male,Hotel,350,Walk,0,350,August,2,Rajasthan,2
V00222,37,Male,Hotel,1078,Horse,7627,8705,July,2,Delhi,6
V00223,43,Female,Tent,4438,Horse,4877,9315,September,1,Maharashtra,7
V00224,21,Male,Hotel,685,Horse,2009,2694,June,4,Uttar Pradesh,3
V00225,69,Female,Hotel,2094,Palanquin,4810,6904,July,3,Madhya Pradesh,7
V00226,64,Male,Hotel,1136,Walk,0,1136,May,1,Maharashtra,4
V00227,41,Male,Tent,3862,Palanquin,1044,4906,September,7,Gujarat,2
V00228,54,Female,Hotel,4496,Horse,1122,5618,May,2,Gujarat,1
V00229,45,Male,Hotel,3507,Walk,0,3507,June,7,Madhya Pradesh,7
V00230,24,Male,Tent,1959,Walk,0,1959,September,6,Delhi,7
V00231,49,Female,Dharamshala,1614,Helicopter,1934,3548,June,9,Uttar Pradesh,5
V00232,38,Female,Dharamshala,3769,Horse,1222,4991,July,5,Rajasthan,5
V00233,49,Female,Hotel,4953,Walk,0,4953,June,4,Gujarat,5
V00234,39,Male,Tent,4277,Horse,2844,7121,October,10,Gujarat,5
V00235,47,Male,Dharamshala,4018,Horse,7716,11734,September,10,Rajasthan,2
V00236,40,Female,Hotel,2553,Horse,7305,9858,May,2,Delhi,6
V00237,44,Male,Tent,1592,Horse,1612,3204,July,1,Rajasthan,1
V00238,21,Female,Dharamshala,1991,Palanquin,4154,6145,July,8,Gujarat,1
V00239,21,Other,Hotel,629,Helicopter,946,1575,August,1,Gujarat,3
V00240,48,Male,Tent,4064,Walk,0,4064,June,6,Gujarat,4
V00241,67,Female,Hotel,3180,Horse,1088,4268,June,1,Maharashtra,4
V00242,63,Female,Hotel,2926,Walk,0,2926,September,6,Rajasthan,5
V00243,35,Female,Dharamshala,4661,Walk,0,4661,September,7,Uttar Pradesh,5
V00244,30,Female,Dharamshala,4944,Walk,0,4944,May,1,Uttar Pradesh,3
V00245,46,Male,Tent,1905,Palanquin,5044,6949,August,2,Delhi,1
V00246,18,Male,Hotel,1363,Walk,0,1363,September,5,Uttar Pradesh,4
V00247,47,Male,Hotel,4118,Horse,171,4289,October,2,Uttar Pradesh,4
V00248,54,Male,Hotel,2645,Horse,5498,8143,June,7,Rajasthan,4
V00249,20,Female,Tent,4435,Walk,0,4435,September,2,Gujarat,6
V00250,42,Male,Hotel,4829,Horse,6116,10945,August,8,Delhi,6
V00251,59,Female,Hotel,3115,Horse,2828,5943,August,6,Maharashtra,5
V00252,42,Male,Hotel,2348,Walk,0,2348,July,10,Gujarat,6
V00253,69,Male,Tent,4943,Walk,0,4943,June,7,Gujarat,6
V00254,37,Male,Dharamshala,4687,Horse,6646,11333,May,7,Uttar Pradesh,5
V00255,70,Female,Hotel,3790,Walk,0,3790,September,2,Rajasthan,6
V00256,20,Male,Dharamshala,3326,Walk,0,3326,July,9,Madhya Pradesh,5
V00257,70,Male,Tent,3923,Palanquin,5517,9440,September,3,Gujarat,2
V00258,64,Male,Tent,4639,Horse,3862,8501,August,6,Rajasthan,4
V00259,42,Female,Tent,519,Walk,0,519,September,2,Uttar Pradesh,7
V00260,59,Female,Dharamshala,4076,Horse,538,4614,September,2,Gujarat,5
V00261,64,Male,Hotel,4754,Walk,0,4754,May,6,Rajasthan,1
V00262,61,Male,Hotel,3288,Horse,4597,7885,May,6,Delhi,3
V00263,67,Female,Tent,4406,Walk,0,4406,May,5,Maharashtra,4
V00264,26,Other,Dharamshala,601,Helicopter,5644,6245,September,1,Rajasthan,6
V00265,69,Male,Tent,943,Palanquin,4890,5833,July,4,Uttar Pradesh,7
V00266,64,Female,Dharamshala,4225,Palanquin,4167,8392,July,3,Madhya Pradesh,5
V00267,64,Male,Hotel,2754,Horse,3692,6446,July,10,Madhya Pradesh,6
V00268,55,Female,Tent,4141,Walk,0,4141,May,10,Delhi,4
V00269,52,Male,Hotel,3772,Palanquin,5037,8809,May,5,Madhya Pradesh,1
V00270,47,Male,Hotel,1429,Helicopter,4595,6024,June,3,Uttar Pradesh,5
V00271,40,Male,Dharamshala,1715,Horse,2879,4594,September,6,Rajasthan,2
V00272,58,Female,Hotel,4522,Helicopter,135,4657,June,6,Uttar Pradesh,2
V00273,59,Female,Hotel,1026,Walk,0,1026,October,10,Maharashtra,4
V00274,60,Other,Tent,3795,Walk,0,3795,September,7,Rajasthan,7
V00275,24,Female,Hotel,733,Horse,6317,7050,July,4,Gujarat,1
V00276,19,Female,Hotel,4122,Horse,6353,10475,August,7,Madhya Pradesh,5
V00277,64,Other,Tent,1222,Walk,0,1222,September,5,Uttar Pradesh,6
V00278,69,Female,Hotel,2147,Walk,0,2147,August,9,Uttar Pradesh,2
V00279,50,Female,Hotel,2705,Walk,0,2705,May,9,Rajasthan,4
V00280,44,Male,Hotel,1712,Walk,0,1712,September,5,Delhi,1
V00281,45,Female,Tent,4176,Horse,3003,7179,July,4,Rajasthan,7
V00282,41,Female,Tent,4282,Horse,4510,8792,July,3,Madhya Pradesh,6
V00283,27,Male,Hotel,3750,Walk,0,3750,May,8,Maharashtra,4
V00284,44,Female,Hotel,1444,Helicopter,5955,7399,May,4,Maharashtra,5
V00285,50,Female,Dharamshala,2972,Horse,95,3067,June,7,Delhi,6
V00286,47,Male,Tent,2444,Horse,3183,5627,September,5,Maharashtra,4
V00287,20,Female,Tent,4555,Palanquin,1717,6272,October,8,Gujarat,4
V00288,40,Male,Tent,2195,Horse,763,2958,August,9,Gujarat,4
V00289,50,Female,Hotel,1526,Helicopter,4458,5984,May,1,Gujarat,2
V00290,42,Female,Tent,3661,Walk,0,3661,August,1,Gujarat,6
V00291,30,Female,Tent,2284,Walk,0,2284,August,9,Maharashtra,5
V00292,24,Male,Hotel,2643,Horse,4137,6780,May,5,Uttar Pradesh,5
V00293,50,Male,Hotel,1746,Walk,0,1746,August,4,Delhi,4
V00294,28,Female,Tent,1293,Palanquin,4859,6152,July,9,Madhya Pradesh,4
V00295,63,Male,Hotel,4186,Walk,0,4186,August,6,Gujarat,2
V00296,49,Male,Tent,4464,Walk,0,4464,September,7,Rajasthan,6
V00297,27,Female,Hotel,421,Horse,1387,1808,October,3,Rajasthan,3
V00298,51,Female,Hotel,2139,Walk,0,2139,May,8,Uttar Pradesh,5
V00299,48,Male,Hotel,1193,Palanquin,3907,5100,September,9,Gujarat,1
V00300,68,Female,Dharamshala,2002,Walk,0,2002,June,10,Madhya Pradesh,5
V00301,64,Male,Hotel,2248,Horse,1557,3805,June,10,Delhi,6
V00302,67,Female,Hotel,3593,Horse,4714,8307,June,4,Uttar Pradesh,2
V00303,35,Male,Tent,1503,Walk,0,1503,September,6,Gujarat,5
V00304,53,Male,Hotel,3795,Palanquin,7557,11352,May,2,Delhi,1
V00305,20,Female,Hotel,4280,Walk,0,4280,September,9,Delhi,3
V00306,55,Female,Hotel,4457,Walk,0,4457,August,9,Uttar Pradesh,6
V00307,59,Male,Tent,2803,Walk,0,2803,July,1,Uttar Pradesh,1
V00308,33,Male,Hotel,2227,Horse,5049,7276,June,10,Madhya Pradesh,7
V00309,18,Male,Hotel,3437,Walk,0,3437,July,2,Uttar Pradesh,4
V00310,53,Female,Dharamshala,2831,Walk,0,2831,June,1,Rajasthan,6
V00311,20,Female,Dharamshala,2739,Walk,0,2739,August,9,Gujarat,1
V00312,38,Female,Tent,673,Helicopter,7189,7862,May,4,Uttar Pradesh,1
V00313,55,Male,Tent,2148,Palanquin,7958,10106,October,5,Rajasthan,4
V00314,57,Female,Hotel,3435,Helicopter,1482,4917,October,5,Uttar Pradesh,6
V00315,23,Male,Hotel,3435,Horse,779,4214,May,2,Maharashtra,5
V00316,19,Female,Hotel,3572,Walk,0,3572,July,2,Rajasthan,4
V00317,27,Female,Hotel,4845,Palanquin,4951,9796,June,8,Rajasthan,1
V00318,31,Male,Tent,2876,Palanquin,4631,7507,July,6,Uttar Pradesh,1
V00319,19,Male,Tent,2022,Helicopter,1760,3782,May,4,Madhya Pradesh,1
V00320,31,Female,Hotel,2694,Walk,0,2694,August,10,Gujarat,1
V00321,28,Female,Dharamshala,660,Horse,3969,4629,June,7,Delhi,6
V00322,53,Male,Hotel,2072,Horse,6435,8507,July,10,Maharashtra,6
V00323,37,Female,Dharamshala,4098,Palanquin,3760,7858,October,7,Rajasthan,4
V00324,31,Female,Tent,302,Horse,3748,4050,October,8,Delhi,7
V00325,39,Female,Hotel,1013,Walk,0,1013,July,8,Madhya Pradesh,1
V00326,21,Male,Hotel,1847,Walk,0,1847,July,9,Delhi,7
V00327,27,Female,Dharamshala,1612,Helicopter,7074,8686,May,6,Gujarat,5
V00328,54,Male,Dharamshala,1653,Walk,0,1653,August,8,Maharashtra,6
V00329,23,Female,Tent,4061,Helicopter,2097,6158,May,7,Uttar Pradesh,6
V00330,68,Male,Dharamshala,2697,Walk,0,2697,October,6,Gujarat,1
V00331,31,Female,Hotel,791,Palanquin,2602,3393,May,2,Madhya Pradesh,3
V00332,27,Male,Hotel,3721,Walk,0,3721,August,4,Maharashtra,5
V00333,60,Male,Tent,3752,Walk,0,3752,October,7,Maharashtra,6
V00334,69,Other,Hotel,934,Horse,3511,4445,October,5,Rajasthan,2
V00335,24,Female,Tent,2819,Walk,0,2819,October,9,Madhya Pradesh,4
V00336,39,Other,Hotel,2612,Palanquin,4524,7136,September,3,Madhya Pradesh,4
V00337,28,Male,Dharamshala,4518,Walk,0,4518,June,1,Uttar Pradesh,7
V00338,33,Female,Hotel,1459,Horse,6342,7801,September,6,Maharashtra,7
V00339,48,Female,Hotel,2115,Walk,0,2115,September,10,Uttar Pradesh,6
V00340,22,Male,Tent,3812,Walk,0,3812,September,5,Delhi,5
